t,u
0.0,1.0000000000000000
0.1,0.9800665778412416
0.2,0.9210609940028851
0.3,0.8253356149096782
0.4,0.6967067093471654
0.5,0.5403023058681398
0.6,0.3623577544766734
0.7,0.1699671429002408
0.8,-0.0291995223012888
0.9,-0.2272020946930871
1.0,-0.4161468365471424
1.1,-0.5885011172553458
1.2,-0.7373937155412458
1.3,-0.8568887533689473
1.4,-0.9422223406686583
1.5,-0.9899924966004454
1.6,-0.9982947757947531
1.7,-0.9667981925794609
1.8,-0.8967584163341470
1.9,-0.7909677119144165
2.0,-0.6536436208636119
2.1,-0.4902608213406994
2.2,-0.3073328699784194
2.3,-0.1121525269350540
2.4,0.0874989834394473
2.5,0.2836621854632262
2.6,0.4685166713003771
2.7,0.6346928759426347
2.8,0.7755658785102502
2.9,0.8855195169413194
3.0,0.9601702866503660
3.1,0.9965420970232175
3.2,0.9931849187581926
3.3,0.9502325919585293
3.4,0.8693974903498248
3.5,0.7539022543433046
3.6,0.6083513145322546
3.7,0.4385473275743904
3.8,0.2512598425822549
3.9,0.0539554205626489
4.0,-0.1455000338086135
4.1,-0.3391548609838362
4.2,-0.5192886541166856
4.3,-0.6787200473200125
4.4,-0.8110930140616560
4.5,-0.9111302618846769
4.6,-0.9748436214041640
4.7,-0.9996930420352065
4.8,-0.9846878557941267
4.9,-0.9304262721047533
5.0,-0.8390715290764524
5.1,-0.7142656520271989
5.2,-0.5609842574272288
5.3,-0.3853381907718280
5.4,-0.1943299064553348
5.5,0.0044256979880508
5.6,0.2030048638187521
5.7,0.3934908663478909
5.8,0.5682896297679750
5.9,0.7204324789908387
6.0,0.8438539587324921
6.1,0.9336336440746379
6.2,0.9861923022788637
6.3,0.9994345855010047
6.4,0.9728325656974354
6.5,0.9074467814501962
6.6,0.8058839576404497
6.7,0.6721930835534681
6.8,0.5117039924531475
6.9,0.3308148779490470
7.0,0.1367372182078336
7.1,-0.0627917229240835
7.2,-0.2598173562137558
7.3,-0.4464848914122672
7.4,-0.6153524829547208
7.5,-0.7596879128588213
7.6,-0.8737369830110810
7.7,-0.9529529168871803
7.8,-0.9941776251838154
7.9,-0.9957676088732885
8.0,-0.9576594803233847
8.1,-0.8813724903622346
8.2,-0.7699479605420695
8.3,-0.6278280352463860
8.4,-0.4606785874113625
8.5,-0.2751633380515969
8.6,-0.0786781947318402
8.7,0.1209435999284777
8.8,0.3157437549192433
8.9,0.4979562027884155
9.0,0.6603167082440802
9.1,0.7963524702919231
9.2,0.9006401723847700
9.3,0.9690221929390499
9.4,0.9987723565872102
9.5,0.9887046181866692
9.6,0.9392203466968696
9.7,0.8522923238654625
9.8,0.7313860956454967
9.9,0.5813218118144357
10.0,0.4080820618133920
